area_sqft,bedrooms,living_space_index,location_score,house_age_years,price
2048.0,4.0,200.7,9.1,24.0,702193.0
1730.0,4.0,170.2,5.3,16.0,512354.0
2123.0,4.0,216.0,7.0,32.0,710435.0
2561.0,5.0,259.2,2.6,46.0,541321.0
1682.0,4.0,168.1,2.7,1.0,475007.0
1682.0,3.0,168.8,,13.0,384766.0
2589.0,5.0,265.3,2.5,39.0,558647.0
2183.0,5.0,215.3,3.5,39.0,524504.0
1565.0,3.0,159.2,2.6,38.0,348315.0
2071.0,4.0,206.1,1.8,5.0,475889.0
,3.0,155.7,2.1,5.0,406877.0
1567.0,4.0,162.2,5.1,2.0,523812.0
1920.0,4.0,196.1,2.9,6.0,485714.0
843.0,1.0,88.4,4.3,7.0,335327.0
937.0,2.0,100.2,5.5,41.0,340915.0
800.0,3.0,151.9,7.2,14.0,1200000.0
1293.0,3.0,132.7,1.4,46.0,190155.0
1957.0,5.0,194.1,8.2,28.0,713110.0
1345.0,3.0,136.1,6.7,32.0,525307.0
1093.0,2.0,108.6,1.7,29.0,197583.0
2532.0,5.0,253.7,8.9,38.0,759959.0
1687.0,3.0,171.7,9.3,26.0,628171.0
1833.0,4.0,179.2,1.5,35.0,351059.0
1087.0,2.0,119.2,3.5,28.0,300380.0
1527.0,,147.7,8.3,37.0,527997.0
1855.0,4.0,179.4,7.7,32.0,671443.0
1224.0,2.0,128.2,2.7,36.0,329250.0
1987.0,5.0,202.7,2.9,26.0,540961.0
1499.0,3.0,153.0,4.3,32.0,447905.0
1654.0,5.0,168.5,5.4,3.0,549558.0
1499.0,3.0,149.8,6.6,21.0,510819.0
2726.0,5.0,268.1,4.3,1.0,718651.0
1793.0,3.0,179.7,5.2,9.0,505121.0
1271.0,3.0,123.7,7.7,4.0,583984.0
2211.0,4.0,226.0,1.3,9.0,480685.0
1189.0,3.0,118.2,3.3,32.0,335060.0
1904.0,4.0,186.3,7.4,37.0,627808.0
820.0,2.0,80.4,9.1,12.0,523127.0
1135.0,2.0,115.6,5.6,30.0,389746.0
1898.0,3.0,187.0,5.8,46.0,546189.0
2169.0,4.0,212.8,2.0,35.0,427073.0
1885.0,4.0,189.7,5.0,,525603.0
1742.0,4.0,175.4,5.8,23.0,569983.0
1649.0,3.0,162.4,3.2,14.0,432618.0
1060.0,2.0,103.6,3.4,28.0,326083.0
1440.0,0.0,145.2,4.4,7.0,428666.0
1569.0,3.0,149.7,1.2,4.0,406025.0
2328.0,5.0,225.8,3.9,28.0,578112.0
1971.0,4.0,193.5,2.9,46.0,426813.0
918.0,1.0,90.7,3.9,3.0,367680.0
1962.0,4.0,197.8,2.1,11.0,455059.0
1607.0,3.0,168.1,9.0,44.0,542561.0
,3.0,150.4,6.3,1.0,499846.0
2105.0,5.0,209.7,7.1,26.0,685105.0
2315.0,4.0,231.4,8.1,30.0,664762.0
2265.0,4.0,221.5,5.5,35.0,648568.0
1380.0,3.0,137.9,1.8,35.0,253642.0
1645.0,4.0,163.1,5.8,25.0,585418.0
1965.0,4.0,198.1,6.3,42.0,574155.0
2287.0,5.0,224.6,7.7,26.0,711413.0
1560.0,3.0,158.6,4.9,4.0,490152.0
1707.0,4.0,178.4,2.1,19.0,436789.0
1246.0,3.0,124.1,3.6,10.0,403540.0
1201.0,3.0,122.1,,9.0,457544.0
2206.0,4.0,224.1,6.8,39.0,629096.0
2478.0,5.0,245.8,6.1,37.0,670719.0
1763.0,3.0,177.4,4.2,5.0,498726.0
2301.0,4.0,230.2,9.9,7.0,803836.0
1980.0,4.0,198.5,6.5,22.0,622234.0
1477.0,3.0,143.8,3.1,46.0,304559.0
1980.0,5.0,198.1,1.9,25.0,428154.0
2569.0,4.0,259.4,2.4,45.0,535802.0
1782.0,4.0,185.5,3.2,42.0,437915.0
2582.0,4.0,263.0,2.4,11.0,571070.0
500.0,1.0,60.8,2.7,25.0,194553.0
2210.0,5.0,217.2,3.6,12.0,595277.0
1843.0,4.0,188.7,2.6,39.0,409842.0
1650.0,,165.9,9.1,17.0,619800.0
1845.0,3.0,195.4,1.7,24.0,405700.0
806.0,2.0,76.6,5.7,32.0,323418.0
1690.0,3.0,164.8,4.7,46.0,454997.0
1978.0,4.0,194.8,9.8,39.0,646532.0
2538.0,5.0,243.2,2.0,42.0,553284.0
1540.0,3.0,151.4,4.6,11.0,494677.0
1395.0,4.0,135.7,9.7,43.0,610055.0
1549.0,3.0,155.7,8.8,-5.0,615085.0
2257.0,4.0,227.4,8.4,47.0,724629.0
1964.0,4.0,205.8,3.3,3.0,563311.0
1535.0,3.0,158.3,2.5,4.0,363648.0
2056.0,5.0,202.7,7.0,36.0,599932.0
1848.0,3.0,180.3,9.4,7.0,681615.0
2284.0,5.0,230.9,6.0,41.0,628162.0
1448.0,3.0,138.2,6.1,48.0,468589.0
1636.0,4.0,172.8,3.5,27.0,427347.0
1603.0,3.0,166.2,7.9,30.0,576538.0
,2.0,104.5,2.7,8.0,306298.0
1948.0,4.0,186.2,3.9,28.0,488214.0
1930.0,4.0,199.8,4.8,13.0,520250.0
1802.0,4.0,179.6,5.6,39.0,497393.0
1682.0,4.0,174.4,3.2,40.0,381339.0
1092.0,2.0,101.2,2.0,21.0,255263.0
1589.0,4.0,155.9,6.5,10.0,609514.0
1628.0,4.0,162.8,3.6,22.0,431978.0
1398.0,3.0,140.0,6.2,0.0,614681.0
1719.0,3.0,169.6,2.4,45.0,383054.0
2002.0,4.0,203.3,5.3,36.0,554535.0
2743.0,5.0,269.0,5.8,20.0,698984.0
1887.0,3.0,188.0,1.5,25.0,418124.0
1928.0,4.0,193.4,4.0,45.0,459290.0
1762.0,4.0,178.8,2.2,35.0,411150.0
8500.0,1.0,87.6,1.6,22.0,150000.0
1786.0,4.0,173.0,9.9,0.0,740588.0
1830.0,2.0,175.3,3.9,39.0,460128.0
3031.0,5.0,309.5,8.3,14.0,843699.0
1703.0,3.0,172.0,3.3,20.0,441385.0
1950.0,3.0,191.3,7.1,46.0,617574.0
1782.0,4.0,186.0,7.8,8.0,636180.0
1215.0,2.0,122.1,6.4,8.0,534148.0
2371.0,5.0,243.0,5.2,,690827.0
2175.0,4.0,217.8,4.7,25.0,556000.0
2195.0,5.0,229.8,4.1,40.0,568747.0
1345.0,2.0,143.3,9.4,34.0,586001.0
2501.0,5.0,248.9,8.5,24.0,795599.0
1099.0,2.0,114.8,9.7,25.0,500748.0
2093.0,4.0,212.5,2.1,10.0,475170.0
2895.0,5.0,296.3,7.6,37.0,771749.0
1304.0,3.0,125.6,9.4,1.0,630046.0
1516.0,3.0,155.0,2.6,6.0,434640.0
1849.0,4.0,190.2,1.6,17.0,436836.0
1548.0,3.0,146.0,7.7,26.0,523099.0
1024.0,2.0,96.5,6.2,33.0,411485.0
1834.0,4.0,173.2,8.6,26.0,676447.0
1268.0,3.0,125.5,,16.0,368353.0
2036.0,3.0,207.2,8.2,42.0,655043.0
1340.0,4.0,141.5,2.8,43.0,377917.0
2574.0,4.0,257.8,2.5,23.0,571105.0
1408.0,3.0,148.9,2.5,24.0,362355.0
1638.0,4.0,156.9,8.3,6.0,605381.0
2206.0,5.0,212.1,7.0,5.0,728758.0
1184.0,2.0,118.1,5.7,23.0,430010.0
1913.0,4.0,193.2,4.2,32.0,512932.0
2453.0,5.0,245.1,8.9,48.0,702482.0
996.0,2.0,89.3,4.5,28.0,313088.0
1892.0,4.0,188.8,8.3,42.0,658834.0
1929.0,4.0,186.4,5.0,21.0,553718.0
2190.0,4.0,222.3,4.4,25.0,584995.0
1181.0,3.0,119.9,5.2,27.0,421494.0
1139.0,2.0,109.2,3.7,49.0,301347.0
2060.0,5.0,203.4,7.7,20.0,720348.0
1948.0,4.0,189.5,5.5,48.0,511078.0
1499.0,3.0,149.8,6.6,21.0,510819.0
2210.0,5.0,217.2,3.6,12.0,595277.0
