experience,js,react,node,python,ts,sql,mongodb,docker,aws,git,nextjs,tailwind,redux,graphql,kubernetes,cicd,testing,azure,agile,salary
7,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,84000
4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,39000
13,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,133000
11,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,102000
8,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,82000
13,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,121000
5,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,59000
7,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,70000
10,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,103000
3,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,46000
7,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,80000
11,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,106000
11,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,111000
8,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,89000
5,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,59000
4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,49000
8,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,79000
8,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,75000
3,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,26000
6,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,58000
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25000
12,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,130000
14,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,121000
6,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,67000
2,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,19000
12,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,114000
5,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,65000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135000
10,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,82000
9,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,99000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,12000
11,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,105000
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,119000
12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,126000
14,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,125000
14,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,133000
14,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,135000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,38000
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,137000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,81000
4,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,51000
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,113000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,40000
5,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,58000
3,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,43000
7,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,76000
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37000
9,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,90000
7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,80000
2,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,22000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,56000
9,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,94000
12,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,124000
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,151000
2,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,36000
10,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,98000
9,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,82000
10,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,106000
5,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,46000
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15000
4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,37000
12,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,116000
12,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,117000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,83000
12,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,116000
13,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,133000
8,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,71000
3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,54000
