school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,data_source,sleep_hours,mobile_social_hours,core_ability,Math_marks,Math_self_rating,Science_marks,Science_self_rating,Social_Science_marks,Social_Science_self_rating,English_marks,English_self_rating,Hindi_marks,Hindi_self_rating,Total_marks,Average_marks
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,real_uci_base,7.6,6.6,56.59397835475604,68,4,68,4,55,4,44,2,67,3,302,60.4
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,real_uci_base,7.2,6.5,36.55259129161027,34,3,52,2,32,2,37,2,44,3,199,39.8
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,real_uci_base,7.8,4.2,22.45948500342836,32,2,19,2,31,2,13,3,18,2,113,22.6
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,real_uci_base,8.0,5.1,63.808950795943154,80,4,70,4,68,2,57,4,54,3,329,65.8
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,real_uci_base,7.1,3.8,59.441961011858616,59,3,64,4,71,4,46,3,69,4,309,61.8
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,real_uci_base,7.2,6.1,58.668709950522896,63,4,67,3,74,4,62,4,61,4,327,65.4
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,real_uci_base,8.5,6.6,53.57571904125827,73,4,56,4,55,4,47,2,52,4,283,56.6
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,real_uci_base,7.6,3.1,62.40853651878965,68,4,53,2,60,3,69,3,55,3,305,61.0
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,real_uci_base,6.9,3.6,51.48358998003224,50,2,50,3,39,3,62,4,62,3,263,52.6
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,real_uci_base,7.9,6.0,55.176675418105695,64,4,69,4,60,4,70,4,49,3,312,62.4
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,real_uci_base,7.0,4.7,63.96040772106398,62,3,67,3,69,4,49,3,70,4,317,63.4
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,real_uci_base,6.6,3.8,67.17801243423587,70,4,69,3,80,3,67,4,67,3,353,70.6
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,real_uci_base,7.7,4.2,51.56133738212768,56,4,48,3,47,3,54,3,48,3,253,50.6
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,real_uci_base,6.1,5.8,53.58601648351965,49,3,59,3,60,4,53,3,67,3,288,57.6
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,real_uci_base,6.0,7.3,46.9323137500374,32,2,60,3,39,2,36,2,57,3,224,44.8
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,real_uci_base,7.3,5.3,57.44654107160466,54,3,46,3,60,3,63,4,59,4,282,56.4
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,real_uci_base,6.2,4.8,62.25250094215066,55,2,66,4,65,3,64,3,56,3,306,61.2
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,real_uci_base,7.5,4.8,69.1573046187825,77,4,81,4,79,3,73,4,65,4,375,75.0
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,real_uci_base,7.1,7.3,20.0,8,1,24,3,17,2,17,2,17,2,83,16.6
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,real_uci_base,6.4,4.7,42.7719526058907,34,3,50,3,40,3,37,3,38,2,199,39.8
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,real_uci_base,8.4,3.9,62.36867553515344,75,4,60,3,66,4,60,3,75,3,336,67.2
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,real_uci_base,7.5,5.4,58.908937226354624,56,3,62,4,62,4,59,3,62,4,301,60.2
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,real_uci_base,7.5,5.4,52.03599417471421,50,3,48,3,48,3,46,2,36,2,228,45.6
